nom,genre,prenom,nom_famille,date_naissance,lieu_naissance,circonscription,sycomore_id,wikidata,frwiki
Marie-Lou Marcel,féminin,Marie-Lou,Marcel,1953-08-21T00:00:00Z,Estadens,deuxième circonscription de l'Aveyron,17349,http://www.wikidata.org/entity/Q3292045,https://fr.wikipedia.org/wiki/Marie-Lou%20Marcel
Marie-Louise Fort,féminin,Marie-Louise,Fort,1950-12-03T00:00:00Z,Villeneuve-la-Guyard,troisième circonscription de l'Yonne,17304,http://www.wikidata.org/entity/Q3292063,https://fr.wikipedia.org/wiki/Marie-Louise%20Fort
Marie-Noëlle Battistel,féminin,Marie-Noëlle,Battistel,1956-08-20T00:00:00Z,Grenoble,quatrième circonscription de l'Isère,18077,http://www.wikidata.org/entity/Q3292159,https://fr.wikipedia.org/wiki/Marie-No%C3%ABlle%20Battistel
Marie Récalde,féminin,Marie,Récalde,1965-03-12T00:00:00Z,Langon,sixième circonscription de la Gironde,18509,http://www.wikidata.org/entity/Q3292773,https://fr.wikipedia.org/wiki/Marie%20R%C3%A9calde
Jean-Luc Warsmann,masculin,Jean-Luc,Warsmann,1965-10-22T00:00:00Z,Villers-Semeuse,troisième circonscription des Ardennes,7453,http://www.wikidata.org/entity/Q509407,https://fr.wikipedia.org/wiki/Jean-Luc%20Warsmann
Marie-Jo Zimmermann,féminin,Marie-Jo,Zimmermann,1951-04-29T00:00:00Z,Creutzwald,troisième circonscription de la Moselle,7491,http://www.wikidata.org/entity/Q514965,https://fr.wikipedia.org/wiki/Marie-Jo%20Zimmermann
André Chassaigne,masculin,André,Chassaigne,1950-07-02T00:00:00Z,Clermont-Ferrand,cinquième circonscription du Puy-de-Dôme,10645,http://www.wikidata.org/entity/Q517765,https://fr.wikipedia.org/wiki/Andr%C3%A9%20Chassaigne
François Lamy,masculin,François,Lamy,1959-10-31T00:00:00Z,Brunoy,sixième circonscription de l'Essonne,4321,http://www.wikidata.org/entity/Q560944,https://fr.wikipedia.org/wiki/Fran%C3%A7ois%20Lamy
Serge Letchimy,masculin,Serge,Letchimy,1953-01-13T00:00:00Z,Gros-Morne,troisième circonscription de la Martinique,17343,http://www.wikidata.org/entity/Q608242,https://fr.wikipedia.org/wiki/Serge%20Letchimy
Michel Vauzelle,masculin,Michel,Vauzelle,1944-08-15T00:00:00Z,Montélimar,seizième circonscription des Bouches-du-Rhône,7397,http://www.wikidata.org/entity/Q609661,https://fr.wikipedia.org/wiki/Michel%20Vauzelle
Gérard Bapt,masculin,Gérard,Bapt,1946-02-04T00:00:00Z,Saint-Étienne,deuxième circonscription de la Haute-Garonne,365,http://www.wikidata.org/entity/Q632930,https://fr.wikipedia.org/wiki/G%C3%A9rard%20Bapt
Yves Jégo,masculin,Yves,Jégo,1961-04-17T00:00:00Z,Besançon,troisième circonscription de Seine-et-Marne,10703,http://www.wikidata.org/entity/Q636424,https://fr.wikipedia.org/wiki/Yves%20J%C3%A9go
Joël Giraud,masculin,Joël,Giraud,1959-10-14T00:00:00Z,Gap,deuxième circonscription des Hautes-Alpes,10685,http://www.wikidata.org/entity/Q637002,https://fr.wikipedia.org/wiki/Jo%C3%ABl%20Giraud
Luc Chatel,masculin,Luc,Chatel,1964-08-15T00:00:00Z,Bethesda,première circonscription de la Haute-Marne,10647,http://www.wikidata.org/entity/Q642640,https://fr.wikipedia.org/wiki/Luc%20Chatel
Geneviève Gaillard,féminin,Geneviève,Gaillard,1947-05-13T00:00:00Z,Niort,première circonscription des Deux-Sèvres,5819,http://www.wikidata.org/entity/Q645945,https://fr.wikipedia.org/wiki/Genevi%C3%A8ve%20Gaillard
Paul Giacobbi,masculin,Paul,Giacobbi,1957-06-04T00:00:00Z,Courbevoie,deuxième circonscription de la Haute-Corse,10682,http://www.wikidata.org/entity/Q663987,https://fr.wikipedia.org/wiki/Paul%20Giacobbi%20%28homme%20politique%2C%201957%29
Christian Paul,masculin,Christian,Paul,1960-03-23T00:00:00Z,Clermont-Ferrand,deuxième circonscription de la Nièvre,5720,http://www.wikidata.org/entity/Q681613,https://fr.wikipedia.org/wiki/Christian%20Paul%20%28homme%20politique%29
Christian Jacob,masculin,Christian,Jacob,1959-12-04T00:00:00Z,Rozay-en-Brie,quatrième circonscription de Seine-et-Marne,3953,http://www.wikidata.org/entity/Q707984,https://fr.wikipedia.org/wiki/Christian%20Jacob
David Douillet,masculin,David,Douillet,1969-02-17T00:00:00Z,Rouen,douzième circonscription des Yvelines,17825,http://www.wikidata.org/entity/Q725694,https://fr.wikipedia.org/wiki/David%20Douillet
Frédéric Cuvillier,masculin,Frédéric,Cuvillier,1968-12-09T00:00:00Z,Boulogne-sur-Mer,cinquième circonscription du Pas-de-Calais,17294,http://www.wikidata.org/entity/Q731629,https://fr.wikipedia.org/wiki/Fr%C3%A9d%C3%A9ric%20Cuvillier
Lionnel Luca,masculin,Lionnel,Luca,1954-12-19T00:00:00Z,Boulogne-Billancourt,sixième circonscription des Alpes-Maritimes,4840,http://www.wikidata.org/entity/Q737204,https://fr.wikipedia.org/wiki/Lionnel%20Luca
Jean-Claude Mignon,masculin,Jean-Claude,Mignon,1950-02-02T00:00:00Z,Corbeil-Essonnes,première circonscription de Seine-et-Marne,5275,http://www.wikidata.org/entity/Q1188660,https://fr.wikipedia.org/wiki/Jean-Claude%20Mignon
Pierre Morel-A-L'Huissier,masculin,Pierre,Morel-A-L'Huissier,1958-12-21T00:00:00Z,Strasbourg,circonscription de la Lozère,10612,http://www.wikidata.org/entity/Q1192864,https://fr.wikipedia.org/wiki/Pierre%20Morel-A-L%27Huissier
Dominique Tian,masculin,Dominique,Tian,1959-12-14T00:00:00Z,Marseille,deuxième circonscription des Bouches-du-Rhône,10605,http://www.wikidata.org/entity/Q1238345,https://fr.wikipedia.org/wiki/Dominique%20Tian
Jean-David Ciot,masculin,Jean-David,Ciot,1967-05-01T00:00:00Z,Rosendaël,quatorzième circonscription des Bouches-du-Rhône,18392,http://www.wikidata.org/entity/Q1281946,https://fr.wikipedia.org/wiki/Jean-David%20Ciot
William Dumas,masculin,William,Dumas,1942-01-23T00:00:00Z,Nîmes,cinquième circonscription du Gard,13156,http://www.wikidata.org/entity/Q1324990,https://fr.wikipedia.org/wiki/William%20Dumas
Henri Emmanuelli,masculin,Henri,Emmanuelli,1945-05-31T00:00:00Z,Eaux-Bonnes,troisième circonscription des Landes,2824,http://www.wikidata.org/entity/Q1347791,https://fr.wikipedia.org/wiki/Henri%20Emmanuelli
Christian Kert,masculin,Christian,Kert,1946-07-25T00:00:00Z,Salon-de-Provence,onzième circonscription des Bouches-du-Rhône,4136,http://www.wikidata.org/entity/Q1383068,https://fr.wikipedia.org/wiki/Christian%20Kert
Patrick Devedjian,masculin,Patrick,Devedjian,1944-08-26T00:00:00Z,Fontainebleau,treizième circonscription des Hauts-de-Seine,2473,http://www.wikidata.org/entity/Q1383590,https://fr.wikipedia.org/wiki/Patrick%20Devedjian
Kader Arif,masculin,Kader,Arif,1959-07-03T00:00:00Z,Alger,dixième circonscription de la Haute-Garonne,18338,http://www.wikidata.org/entity/Q1394045,https://fr.wikipedia.org/wiki/Kader%20Arif
François-Michel Lambert,masculin,François-Michel,Lambert,1966-08-24T00:00:00Z,La Havane,dixième circonscription des Bouches-du-Rhône,18454,http://www.wikidata.org/entity/Q1450831,https://fr.wikipedia.org/wiki/Fran%C3%A7ois-Michel%20Lambert
Julien Aubert,masculin,Julien,Aubert,1978-06-11T00:00:00Z,Marseille,cinquième circonscription de Vaucluse,18341,http://www.wikidata.org/entity/Q1457778,https://fr.wikipedia.org/wiki/Julien%20Aubert
Patrick Mennucci,masculin,Patrick,Mennucci,1955-04-08T00:00:00Z,Marseille,quatrième circonscription des Bouches-du-Rhône,18481,http://www.wikidata.org/entity/Q1530897,https://fr.wikipedia.org/wiki/Patrick%20Mennucci
Charles de La Verpillière,masculin,Charles,de La Verpillière,1954-05-31T00:00:00Z,Bourg-en-Bresse,deuxième circonscription de l'Ain,17211,http://www.wikidata.org/entity/Q1534217,https://fr.wikipedia.org/wiki/Charles%20de%20La%20Verpilli%C3%A8re
Jacques Krabal,masculin,Jacques,Krabal,1948-04-10T00:00:00Z,Épieds,cinquième circonscription de l'Aisne,18450,http://www.wikidata.org/entity/Q1659343,https://fr.wikipedia.org/wiki/Jacques%20Krabal
Gilbert Sauvan,masculin,Gilbert,Sauvan,1956-07-15T00:00:00Z,Peyroules,première circonscription des Alpes-de-Haute-Provence,18525,http://www.wikidata.org/entity/Q1674061,https://fr.wikipedia.org/wiki/Gilbert%20Sauvan
Guy Chambefort,masculin,Guy,Chambefort,1944-10-19T00:00:00Z,Saint-Étienne,première circonscription de l'Allier,17298,http://www.wikidata.org/entity/Q1674130,https://fr.wikipedia.org/wiki/Guy%20Chambefort
Jean-Christophe Cambadélis,masculin,Jean-Christophe,Cambadélis,1951-08-14T00:00:00Z,Neuilly-sur-Seine,seizième circonscription de Paris,1396,http://www.wikidata.org/entity/Q1684726,https://fr.wikipedia.org/wiki/Jean-Christophe%20Cambad%C3%A9lis
Christophe Castaner,masculin,Christophe,Castaner,1966-01-03T00:00:00Z,Ollioules,deuxième circonscription des Alpes-de-Haute-Provence,18382,http://www.wikidata.org/entity/Q1726930,https://fr.wikipedia.org/wiki/Christophe%20Castaner
Alain Rousset,masculin,Alain,Rousset,1951-02-16T00:00:00Z,Chazelles-sur-Lyon,septième circonscription de la Gironde,17376,http://www.wikidata.org/entity/Q1768192,https://fr.wikipedia.org/wiki/Alain%20Rousset
Karine Berger,féminin,Karine,Berger,1973-03-11T00:00:00Z,Limoges,première circonscription des Hautes-Alpes,18357,http://www.wikidata.org/entity/Q1778536,https://fr.wikipedia.org/wiki/Karine%20Berger
Patrick Weiten,masculin,Patrick,Weiten,1954-07-01T00:00:00Z,Yutz,neuvième circonscription de la Moselle,,http://www.wikidata.org/entity/Q23945407,https://fr.wikipedia.org/wiki/Patrick%20Weiten
Éric Elkouby,masculin,Éric,Elkouby,1973-06-24T00:00:00Z,Strasbourg,première circonscription du Bas-Rhin,,http://www.wikidata.org/entity/Q24255086,https://fr.wikipedia.org/wiki/%C3%89ric%20Elkouby
Stéphanie Pernod-Beaudon,féminin,Stéphanie,Pernod-Beaudon,1978-10-13T00:00:00Z,Bourg-en-Bresse,troisième circonscription de l'Ain,,http://www.wikidata.org/entity/Q24512980,https://fr.wikipedia.org/wiki/St%C3%A9phanie%20Pernod-Beaudon
Philippe Duron,masculin,Philippe,Duron,1947-06-19T00:00:00Z,Antony,première circonscription du Calvados,2776,http://www.wikidata.org/entity/Q743479,https://fr.wikipedia.org/wiki/Philippe%20Duron
Philippe Nauche,masculin,Philippe,Nauche,1957-07-15T00:00:00Z,Brive-la-Gaillarde,deuxième circonscription de la Corrèze,5513,http://www.wikidata.org/entity/Q781970,https://fr.wikipedia.org/wiki/Philippe%20Nauche
Pierre Lellouche,masculin,Pierre,Lellouche,1951-05-03T00:00:00Z,Tunis,première circonscription de Paris,7741,http://www.wikidata.org/entity/Q784751,https://fr.wikipedia.org/wiki/Pierre%20Lellouche
Christophe Cavard,masculin,Christophe,Cavard,1970-02-19T00:00:00Z,Die,sixième circonscription du Gard,18383,http://www.wikidata.org/entity/Q799291,https://fr.wikipedia.org/wiki/Christophe%20Cavard
Benoît Hamon,masculin,Benoît,Hamon,1967-06-26T00:00:00Z,Saint-Renan,onzième circonscription des Yvelines,18443,http://www.wikidata.org/entity/Q818118,https://fr.wikipedia.org/wiki/Beno%C3%AEt%20Hamon
Bernard Accoyer,masculin,Bernard,Accoyer,1945-08-12T00:00:00Z,Lyon,première circonscription de la Haute-Savoie,28,http://www.wikidata.org/entity/Q822237,https://fr.wikipedia.org/wiki/Bernard%20Accoyer
Bernard Reynès,masculin,Bernard,Reynès,1953-10-18T00:00:00Z,Meknès,quinzième circonscription des Bouches-du-Rhône,17371,http://www.wikidata.org/entity/Q822671,https://fr.wikipedia.org/wiki/Bernard%20Reyn%C3%A8s
Fabrice Verdier,masculin,Fabrice,Verdier,1968-12-16T00:00:00Z,Bagnols-sur-Cèze,quatrième circonscription du Gard,18542,http://www.wikidata.org/entity/Q867150,https://fr.wikipedia.org/wiki/Fabrice%20Verdier
Gaby Charroux,masculin,Gaby,Charroux,1942-06-25T00:00:00Z,Alger,treizième circonscription des Bouches-du-Rhône,18387,http://www.wikidata.org/entity/Q868318,https://fr.wikipedia.org/wiki/Gaby%20Charroux
Jean-Michel Couve,masculin,Jean-Michel,Couve,1940-01-03T00:00:00Z,Le Muy,quatrième circonscription du Var,2054,http://www.wikidata.org/entity/Q868322,https://fr.wikipedia.org/wiki/Jean-Michel%20Couve
Bernard Deflesselles,masculin,Bernard,Deflesselles,1953-10-16T00:00:00Z,Paris,neuvième circonscription des Bouches-du-Rhône,10068,http://www.wikidata.org/entity/Q892174,https://fr.wikipedia.org/wiki/Bernard%20Deflesselles
Michel Herbillon,masculin,Michel,Herbillon,1951-03-06T00:00:00Z,Saint-Mandé,huitième circonscription du Val-de-Marne,3808,http://www.wikidata.org/entity/Q924976,https://fr.wikipedia.org/wiki/Michel%20Herbillon
Marc Dolez,masculin,Marc,Dolez,1952-10-21T00:00:00Z,Douai,dix-septième circonscription du Nord,2535,http://www.wikidata.org/entity/Q937175,https://fr.wikipedia.org/wiki/Marc%20Dolez
Axel Poniatowski,masculin,Axel,Poniatowski,1951-08-03T00:00:00Z,Rabat,deuxième circonscription du Val-d'Oise,10752,http://www.wikidata.org/entity/Q938263,https://fr.wikipedia.org/wiki/Axel%20Poniatowski
Patrice Prat,masculin,Patrice,Prat,1965-11-28T00:00:00Z,Bagnols-sur-Cèze,troisième circonscription du Gard,18505,http://www.wikidata.org/entity/Q938547,https://fr.wikipedia.org/wiki/Patrice%20Prat
Patrick Balkany,masculin,Patrick,Balkany,1948-08-16T00:00:00Z,Neuilly-sur-Seine,cinquième circonscription des Hauts-de-Seine,349,http://www.wikidata.org/entity/Q945181,https://fr.wikipedia.org/wiki/Patrick%20Balkany
Jean-François Lamour,masculin,Jean-François,Lamour,1956-02-02T00:00:00Z,Paris,treizième circonscription de Paris,17336,http://www.wikidata.org/entity/Q956428,https://fr.wikipedia.org/wiki/Jean-Fran%C3%A7ois%20Lamour
Michel Destot,masculin,Michel,Destot,1946-09-02T00:00:00Z,Malo-les-Bains,troisième circonscription de l'Isère,2458,http://www.wikidata.org/entity/Q959067,https://fr.wikipedia.org/wiki/Michel%20Destot
Marc-Philippe Daubresse,masculin,Marc-Philippe,Daubresse,1953-08-01T00:00:00Z,Lille,quatrième circonscription du Nord,2154,http://www.wikidata.org/entity/Q960474,https://fr.wikipedia.org/wiki/Marc-Philippe%20Daubresse
Jacques Kossowski,masculin,Jacques,Kossowski,1940-10-11T00:00:00Z,Paris,troisième circonscription des Hauts-de-Seine,4152,http://www.wikidata.org/entity/Q962891,https://fr.wikipedia.org/wiki/Jacques%20Kossowski
Michel Heinrich,masculin,Michel,Heinrich,1946-02-15T00:00:00Z,Thann,première circonscription des Vosges,10694,http://www.wikidata.org/entity/Q962903,https://fr.wikipedia.org/wiki/Michel%20Heinrich
Noël Mamère,masculin,Noël,Mamère,1948-12-25T00:00:00Z,Libourne,troisième circonscription de la Gironde,4943,http://www.wikidata.org/entity/Q965109,https://fr.wikipedia.org/wiki/No%C3%ABl%20Mam%C3%A8re
Damien Abad,masculin,Damien,Abad,1980-04-05T00:00:00Z,Nîmes,cinquième circonscription de l'Ain,18328,http://www.wikidata.org/entity/Q966529,https://fr.wikipedia.org/wiki/Damien%20Abad
Patrick Ollier,masculin,Patrick,Ollier,1944-12-17T00:00:00Z,Périgueux,septième circonscription des Hauts-de-Seine,5600,http://www.wikidata.org/entity/Q976436,https://fr.wikipedia.org/wiki/Patrick%20Ollier
Pierre-Yves Le Borgn’,masculin,Pierre-Yves,Le Borgn’,1964-11-04T00:00:00Z,Quimper,septième circonscription des Français établis hors de France,18458,http://www.wikidata.org/entity/Q980660,https://fr.wikipedia.org/wiki/Pierre-Yves%20Le%20Borgn%27
Victorin Lurel,masculin,Victorin,Lurel,1951-08-20T00:00:00Z,Vieux-Habitants,quatrième circonscription de la Guadeloupe,10726,http://www.wikidata.org/entity/Q983563,https://fr.wikipedia.org/wiki/Victorin%20Lurel
Laurent Wauquiez,masculin,Laurent,Wauquiez,1975-04-12T00:00:00Z,Lyon,première circonscription de la Haute-Loire,13402,http://www.wikidata.org/entity/Q984375,https://fr.wikipedia.org/wiki/Laurent%20Wauquiez
Maurice Leroy,masculin,Maurice,Leroy,1959-02-02T00:00:00Z,Paris,troisième circonscription de Loir-et-Cher,7800,http://www.wikidata.org/entity/Q984381,https://fr.wikipedia.org/wiki/Maurice%20Leroy
Bruno Le Maire,masculin,Bruno,Le Maire,1969-04-15T00:00:00Z,Neuilly-sur-Seine,première circonscription de l'Eure,17340,http://www.wikidata.org/entity/Q993472,https://fr.wikipedia.org/wiki/Bruno%20Le%20Maire
Fanélie Carrey-Conte,féminin,Fanélie,Carrey-Conte,1980-05-16T00:00:00Z,Bègles,quinzième circonscription de Paris,18572,http://www.wikidata.org/entity/Q1027406,https://fr.wikipedia.org/wiki/Fan%C3%A9lie%20Carrey-Conte
Jean-Pierre Maggi,masculin,Jean-Pierre,Maggi,1944-07-27T00:00:00Z,Marseille,huitième circonscription des Bouches-du-Rhône,,http://www.wikidata.org/entity/Q1027528,https://fr.wikipedia.org/wiki/Jean-Pierre%20Maggi
Claude Bartolone,masculin,Claude,Bartolone,1951-07-29T00:00:00Z,Tunis,neuvième circonscription de la Seine-Saint-Denis,454,http://www.wikidata.org/entity/Q1096496,https://fr.wikipedia.org/wiki/Claude%20Bartolone
Sylvie Andrieux,féminin,Sylvie,Andrieux,1961-12-15T00:00:00Z,Marseille,troisième circonscription des Bouches-du-Rhône,141,http://www.wikidata.org/entity/Q1103356,https://fr.wikipedia.org/wiki/Sylvie%20Andrieux
Daniel Goldberg,masculin,Daniel,Goldberg,1965-08-24T00:00:00Z,Saint-Denis,dixième circonscription de la Seine-Saint-Denis,17314,http://www.wikidata.org/entity/Q1160874,https://fr.wikipedia.org/wiki/Daniel%20Goldberg
Viviane Le Dissez,féminin,Viviane,Le Dissez,1959-03-22T00:00:00Z,Tréguier,deuxième circonscription des Côtes-d'Armor,18461,http://www.wikidata.org/entity/Q2597981,https://fr.wikipedia.org/wiki/Viviane%20Le%20Dissez
Michel Lesage,masculin,Michel,Lesage,1952-06-02T00:00:00Z,Cherbourg,première circonscription des Côtes-d'Armor,18470,http://www.wikidata.org/entity/Q2597989,https://fr.wikipedia.org/wiki/Michel%20Lesage
Michel Vergnier,masculin,Michel,Vergnier,1946-11-25T00:00:00Z,Ennery,circonscription de la Creuse,7478,http://www.wikidata.org/entity/Q2689072,https://fr.wikipedia.org/wiki/Michel%20Vergnier
Annie Le Houérou,féminin,Annie,Le Houérou,1960-03-31T00:00:00Z,Plougonver,quatrième circonscription des Côtes-d'Armor,18464,http://www.wikidata.org/entity/Q2689081,https://fr.wikipedia.org/wiki/Annie%20Le%20Hou%C3%A9rou
Corinne Erhel,féminin,Corinne,Erhel,1967-02-03T00:00:00Z,Quimper,cinquième circonscription des Côtes-d'Armor,17288,http://www.wikidata.org/entity/Q2689088,https://fr.wikipedia.org/wiki/Corinne%20Erhel
Patrick Labaune,masculin,Patrick,Labaune,1951-06-13T00:00:00Z,Paris,première circonscription de la Drôme,4198,http://www.wikidata.org/entity/Q2733287,https://fr.wikipedia.org/wiki/Patrick%20Labaune
Barbara Romagnan,féminin,Barbara,Romagnan,1974-04-25T00:00:00Z,Annecy,première circonscription du Doubs,18516,http://www.wikidata.org/entity/Q2733295,https://fr.wikipedia.org/wiki/Barbara%20Romagnan
Colette Langlade,féminin,Colette,Langlade,1956-06-20T00:00:00Z,Sorges,troisième circonscription de la Dordogne,17539,http://www.wikidata.org/entity/Q2733411,https://fr.wikipedia.org/wiki/Colette%20Langlade
Claude Goasguen,masculin,Claude,Goasguen,1945-03-12T00:00:00Z,Toulon,quatorzième circonscription de Paris,3456,http://www.wikidata.org/entity/Q2746785,https://fr.wikipedia.org/wiki/Claude%20Goasguen
Franck Reynier,masculin,Franck,Reynier,1965-10-20T00:00:00Z,Montélimar,deuxième circonscription de la Drôme,17372,http://www.wikidata.org/entity/Q2754410,https://fr.wikipedia.org/wiki/Franck%20Reynier
Éric Alauzet,masculin,Éric,Alauzet,1958-06-07T00:00:00Z,Nancy,deuxième circonscription du Doubs,18332,http://www.wikidata.org/entity/Q2754524,https://fr.wikipedia.org/wiki/%C3%89ric%20Alauzet
Nathalie Nieson,féminin,Nathalie,Nieson,1969-03-26T00:00:00Z,Lyon,quatrième circonscription de la Drôme,18488,http://www.wikidata.org/entity/Q2782079,https://fr.wikipedia.org/wiki/Nathalie%20Nieson
Jean-Luc Bleunven,masculin,Jean-Luc,Bleunven,1958-12-20T00:00:00Z,Plabennec,troisième circonscription du Finistère,18361,http://www.wikidata.org/entity/Q2790949,https://fr.wikipedia.org/wiki/Jean-Luc%20Bleunven
Franck Gilard,masculin,Franck,Gilard,1950-11-01T00:00:00Z,Riaillé,cinquième circonscription de l'Eure,10683,http://www.wikidata.org/entity/Q2791086,https://fr.wikipedia.org/wiki/Franck%20Gilard
Sandrine Doucet,féminin,Sandrine,Doucet,1959-09-10T00:00:00Z,Talence,première circonscription de la Gironde,18409,http://www.wikidata.org/entity/Q2815127,https://fr.wikipedia.org/wiki/Sandrine%20Doucet
Christophe Borgel,masculin,Christophe,Borgel,1963-09-03T00:00:00Z,Poitiers,neuvième circonscription de la Haute-Garonne,18364,http://www.wikidata.org/entity/Q2815137,https://fr.wikipedia.org/wiki/Christophe%20Borgel
Catherine Lemorton,féminin,Catherine,Lemorton,1961-06-20T00:00:00Z,Troyes,première circonscription de la Haute-Garonne,17341,http://www.wikidata.org/entity/Q2815142,https://fr.wikipedia.org/wiki/Catherine%20Lemorton
Alain Bocquet,masculin,Alain,Bocquet,1946-05-06T00:00:00Z,Marquillies,vingtième circonscription du Nord,889,http://www.wikidata.org/entity/Q2829584,https://fr.wikipedia.org/wiki/Alain%20Bocquet
Alain Chrétien,masculin,Alain,Chrétien,1975-03-17T00:00:00Z,Vesoul,première circonscription de la Haute-Saône,18391,http://www.wikidata.org/entity/Q2829666,https://fr.wikipedia.org/wiki/Alain%20Chr%C3%A9tien
Alain Claeys,masculin,Alain,Claeys,1948-08-25T00:00:00Z,Poitiers,première circonscription de la Vienne,1825,http://www.wikidata.org/entity/Q2829673,https://fr.wikipedia.org/wiki/Alain%20Claeys
Alain Gest,masculin,Alain,Gest,1950-12-27T00:00:00Z,Amiens,quatrième circonscription de la Somme,3389,http://www.wikidata.org/entity/Q2829853,https://fr.wikipedia.org/wiki/Alain%20Gest
Alain Lebœuf,masculin,Alain,Lebœuf,1964-02-02T00:00:00Z,Nantes,première circonscription de la Vendée,18457,http://www.wikidata.org/entity/Q2830019,https://fr.wikipedia.org/wiki/Alain%20Leb%C5%93uf
Alain Marleix,masculin,Alain,Marleix,1946-01-02T00:00:00Z,Paris,deuxième circonscription du Cantal,5008,http://www.wikidata.org/entity/Q2830085,https://fr.wikipedia.org/wiki/Alain%20Marleix
Alain Marsaud,masculin,Alain,Marsaud,1949-03-08T00:00:00Z,Limoges,dixième circonscription des Français établis hors de France,5026,http://www.wikidata.org/entity/Q2830086,https://fr.wikipedia.org/wiki/Alain%20Marsaud
Alain Marty,masculin,Alain,Marty,1946-03-07T00:00:00Z,Castelnaudary,quatrième circonscription de la Moselle,10732,http://www.wikidata.org/entity/Q2830088,https://fr.wikipedia.org/wiki/Alain%20Marty
Alain Moyne-Bressand,masculin,Alain,Moyne-Bressand,1945-07-30T00:00:00Z,Bourgoin-Jallieu,sixième circonscription de l'Isère,5470,http://www.wikidata.org/entity/Q2830127,https://fr.wikipedia.org/wiki/Alain%20Moyne-Bressand
Alain Rodet,masculin,Alain,Rodet,1944-06-04T00:00:00Z,Dieulefit,première circonscription de la Haute-Vienne,6045,http://www.wikidata.org/entity/Q2830248,https://fr.wikipedia.org/wiki/Alain%20Rodet
Alain Suguenot,masculin,Alain,Suguenot,1951-09-17T00:00:00Z,Troyes,cinquième circonscription de la Côte-d'Or,6920,http://www.wikidata.org/entity/Q2830299,https://fr.wikipedia.org/wiki/Alain%20Suguenot
Alain Tourret,masculin,Alain,Tourret,1947-12-25T00:00:00Z,Boppard,sixième circonscription du Calvados,7119,http://www.wikidata.org/entity/Q2830328,https://fr.wikipedia.org/wiki/Alain%20Tourret
Alexis Bachelay,masculin,Alexis,Bachelay,1973-08-19T00:00:00Z,Saint-Maur-des-Fossés,première circonscription des Hauts-de-Seine,18346,http://www.wikidata.org/entity/Q2834446,https://fr.wikipedia.org/wiki/Alexis%20Bachelay
André Santini,masculin,André,Santini,1940-10-20T00:00:00Z,Paris,dixième circonscription des Hauts-de-Seine,6282,http://www.wikidata.org/entity/Q2848614,https://fr.wikipedia.org/wiki/Andr%C3%A9%20Santini
André Schneider,masculin,André,Schneider,1947-01-03T00:00:00Z,Strasbourg,troisième circonscription du Bas-Rhin,6349,http://www.wikidata.org/entity/Q2848624,https://fr.wikipedia.org/wiki/Andr%C3%A9%20Schneider
Dominique Orliac,féminin,Dominique,Orliac,1952-03-15T00:00:00Z,Palaiseau,première circonscription du Lot,17362,http://www.wikidata.org/entity/Q3035367,https://fr.wikipedia.org/wiki/Dominique%20Orliac
Dominique Potier,masculin,Dominique,Potier,1964-03-17T00:00:00Z,Toul,cinquième circonscription de Meurthe-et-Moselle,18502,http://www.wikidata.org/entity/Q3035399,https://fr.wikipedia.org/wiki/Dominique%20Potier%20%28homme%20politique%29
Dominique Raimbourg,masculin,Dominique,Raimbourg,1950-04-28T00:00:00Z,Boulogne-Billancourt,quatrième circonscription de la Loire-Atlantique,10043,http://www.wikidata.org/entity/Q3035420,https://fr.wikipedia.org/wiki/Dominique%20Raimbourg
Edith Gueugneau,féminin,Edith,Gueugneau,1953-06-07T00:00:00Z,Bourbon-Lancy,deuxième circonscription de Saône-et-Loire,18440,http://www.wikidata.org/entity/Q3047630,https://fr.wikipedia.org/wiki/%C3%89dith%20Gueugneau
Eduardo Rihan Cypel,masculin,Eduardo,Rihan Cypel,1975-11-13T00:00:00Z,Porto Alegre,huitième circonscription de Seine-et-Marne,18511,http://www.wikidata.org/entity/Q3048368,https://fr.wikipedia.org/wiki/Eduardo%20Rihan%20Cypel
Erwann Binet,masculin,Erwann,Binet,1972-07-30T00:00:00Z,Brest,huitième circonscription de l'Isère,18359,http://www.wikidata.org/entity/Q3057538,https://fr.wikipedia.org/wiki/Erwann%20Binet
Fanny Dombre-Coste,féminin,Fanny,Dombre-Coste,1956-12-26T00:00:00Z,Sainte-Adresse,troisième circonscription de l'Hérault,18408,http://www.wikidata.org/entity/Q3066450,https://fr.wikipedia.org/wiki/Fanny%20Dombre-Coste
Fernand Siré,masculin,Fernand,Siré,1945-03-31T00:00:00Z,Saint-Laurent-de-la-Salanque,deuxième circonscription des Pyrénées-Orientales,17965,http://www.wikidata.org/entity/Q3069340,https://fr.wikipedia.org/wiki/Fernand%20Sir%C3%A9
Florence Delaunay,féminin,Florence,Delaunay,1956-06-12T00:00:00Z,Chinon,première circonscription des Landes,18326,http://www.wikidata.org/entity/Q3073960,https://fr.wikipedia.org/wiki/Florence%20Delaunay
Francis Hillmeyer,masculin,Francis,Hillmeyer,1946-09-09T00:00:00Z,Mulhouse,sixième circonscription du Haut-Rhin,9494,http://www.wikidata.org/entity/Q3081488,https://fr.wikipedia.org/wiki/Francis%20Hillmeyer
